"Proj","Measure","lrmLdaRf","lrmMajorityVote","lrmOneR","lrmTextNb","svmOneR","svmLdaRf","svmMajorityVote","svmTextNb","rfLdaRf","rfMajorityVote","rfOneR","rfTextNb","cartLdaRf","cartMajorityVote","cartOneR","cartTextNb"
"TISTUD","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","M\three{}","L\three{}","L\three{}","S\three{}","S\one{}","L\three{}","M\three{}"
"TISTUD","BACC","M\three{}","M\three{}","L\three{}","L\three{}","M\three{}","S\three{}","S\three{}","M\three{}","M\zero{}","M\zero{}","S\zero{}","M\zero{}","N\zero{}","N\zero{}","S\two{}","N\zero{}"
"TISTUD","D2H","M\three{}","M\three{}","M\three{}","M\three{}","N\zero{}","N\zero{}","N\zero{}","S\zero{}","S\zero{}","M\zero{}","S\zero{}","M\zero{}","N\zero{}","N\zero{}","N\zero{}","N\zero{}"
"TISTUD","FAR","M\three{}","L\three{}","L\zero{}","L\three{}","L\zero{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","L\three{}","M\three{}","L\three{}","M\zero{}","L\three{}"
"TISTUD","RECALL","M\three{}","S\three{}","L\three{}","N\zero{}","M\three{}","N\zero{}","S\zero{}","M\zero{}","M\zero{}","M\zero{}","S\zero{}","L\zero{}","N\zero{}","S\zero{}","S\two{}","S\zero{}"
"DM","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","L\three{}","L\three{}"
"DM","BACC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","S\three{}","L\three{}","L\three{}","M\three{}","M\three{}","L\three{}"
"DM","D2H","L\three{}","L\three{}","M\three{}","L\three{}","M\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\zero{}","M\zero{}","L\zero{}","L\three{}","S\three{}","M\three{}","M\three{}"
"DM","FAR","L\zero{}","M\three{}","N\one{}","L\three{}","S\three{}","L\zero{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\zero{}","M\three{}","N\one{}","L\three{}"
"DM","RECALL","L\three{}","N\zero{}","M\three{}","L\three{}","M\three{}","L\three{}","S\zero{}","M\three{}","M\three{}","L\zero{}","L\zero{}","L\zero{}","L\three{}","S\zero{}","S\three{}","N\zero{}"
"MESOS","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","S\three{}","L\three{}","M\three{}"
"MESOS","BACC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","N\zero{}","S\three{}","M\three{}","M\three{}","M\three{}","M\three{}","M\three{}"
"MESOS","D2H","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","S\three{}","M\three{}","L\zero{}","L\zero{}","N\zero{}","M\zero{}","S\two{}","N\zero{}","M\three{}","S\three{}"
"MESOS","FAR","M\three{}","M\three{}","L\zero{}","S\two{}","L\zero{}","L\three{}","L\three{}","M\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\zero{}","M\three{}"
"MESOS","RECALL","M\three{}","M\three{}","L\three{}","M\three{}","L\three{}","N\one{}","S\zero{}","S\three{}","L\zero{}","L\zero{}","N\zero{}","L\zero{}","N\zero{}","S\zero{}","M\three{}","N\one{}"
"MULE","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","S\two{}","L\three{}","M\three{}"
"MULE","BACC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","S\zero{}","M\three{}","S\three{}","M\three{}","M\three{}","M\three{}","M\three{}"
"MULE","D2H","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","L\three{}","S\zero{}","L\zero{}","M\three{}","L\zero{}","L\three{}","S\two{}","L\three{}","S\three{}"
"MULE","FAR","L\zero{}","M\three{}","L\zero{}","L\three{}","L\zero{}","M\zero{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","L\three{}","M\zero{}","M\three{}","L\zero{}","M\three{}"
"MULE","RECALL","L\three{}","M\three{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","M\three{}","M\zero{}","L\zero{}","M\three{}","L\zero{}","L\three{}","N\zero{}","L\three{}","N\zero{}"
"TIMOB","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","L\three{}","M\three{}"
"TIMOB","BACC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","S\zero{}","M\three{}","M\three{}","L\three{}","S\three{}","M\three{}","L\three{}"
"TIMOB","D2H","L\three{}","M\three{}","L\three{}","L\three{}","L\three{}","L\three{}","N\zero{}","L\three{}","M\zero{}","L\zero{}","M\three{}","M\zero{}","S\one{}","M\zero{}","M\three{}","N\one{}"
"TIMOB","FAR","M\three{}","L\three{}","L\zero{}","L\three{}","L\zero{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\zero{}","L\three{}"
"TIMOB","RECALL","M\three{}","N\zero{}","L\three{}","L\three{}","L\three{}","M\three{}","M\zero{}","M\three{}","M\zero{}","L\zero{}","M\three{}","L\zero{}","N\zero{}","L\zero{}","M\three{}","N\zero{}"
"USERGRID","AUC","M\three{}","M\three{}","L\three{}","L\three{}","L\three{}","M\three{}","M\three{}","L\three{}","M\three{}","M\three{}","L\three{}","L\three{}","S\three{}","N\zero{}","L\three{}","M\three{}"
"USERGRID","BACC","M\three{}","S\three{}","M\three{}","M\three{}","S\three{}","M\three{}","S\two{}","M\three{}","S\one{}","N\zero{}","N\zero{}","S\three{}","S\three{}","N\zero{}","S\two{}","M\three{}"
"USERGRID","D2H","S\three{}","S\two{}","M\three{}","M\three{}","S\three{}","N\zero{}","S\zero{}","S\three{}","M\zero{}","M\zero{}","S\zero{}","N\zero{}","N\zero{}","S\zero{}","S\two{}","S\three{}"
"USERGRID","FAR","M\three{}","M\three{}","M\zero{}","N\zero{}","N\zero{}","L\three{}","L\three{}","S\three{}","L\three{}","L\three{}","M\three{}","M\three{}","M\three{}","M\three{}","N\zero{}","S\three{}"
"USERGRID","RECALL","N\zero{}","N\zero{}","M\three{}","M\three{}","S\three{}","S\zero{}","S\zero{}","S\three{}","M\zero{}","L\zero{}","S\zero{}","S\zero{}","S\zero{}","S\zero{}","N\one{}","S\one{}"
"XD","AUC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","S\three{}","L\three{}","S\three{}"
"XD","BACC","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","S\two{}","L\three{}","S\three{}","L\three{}","M\three{}","L\three{}","M\three{}"
"XD","D2H","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","M\three{}","L\three{}","L\zero{}","M\three{}","L\zero{}","L\three{}","N\zero{}","L\three{}","N\zero{}"
"XD","FAR","L\zero{}","L\three{}","L\zero{}","L\three{}","M\zero{}","L\zero{}","L\three{}","L\three{}","L\three{}","L\three{}","M\three{}","L\three{}","M\zero{}","L\three{}","S\zero{}","L\three{}"
"XD","RECALL","L\three{}","M\three{}","L\three{}","S\three{}","L\three{}","L\three{}","N\zero{}","N\zero{}","L\three{}","L\zero{}","M\three{}","L\zero{}","L\three{}","S\zero{}","L\three{}","M\zero{}"
